,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
AET,0.9740348690011242,0.9576783890327942,0.9453178400963238,0.8933559839151364,0.9860625094786016,0.9651786023283175,0.9545724771998304,0.5438850337626288,0.6809324203363696,0.44582257389427377,1.0,0.5823975157943053,0.9574093843026894,0.9591279571753164,0.975036771283104,0.7458920677152105,0.8610054948929703,0.8288303393699258,0.9619783530848877,0.5549298625545505,0.8951598068237365,0.9478395850667665,0.663276489838946,0.6969039271135598,0.9639170560640825,0.9761049583863768,0.9791377270565652,0.9786894926808415,0.9204754033337805,0.9391262652185464,0.9724227431808183,0.8589838720915971,0.9584646856869045,0.8329456081712481,0.8395025329985792,0.972064433899522,0.9649001187309298,0.924012547484445,0.8445388286197358,0.9347530550575139,0.9490600010189961,0.9871761266896052,-0.26525990514444997,0.9796365429195181,0.9510785355750018,0.9881181244535734,0.9819986958244824,0.9771319987884663,-0.8369746198418508,0.9308712601857102,0.961710542625806,0.917433214062073,0.9451517312725559,0.8286131130929615,-0.08674329911541268,0.934831884034985,0.9617125642630854,0.956246606073131,0.8302712126451882,0.9402301769381315,0.9856205655971763,0.8264150718798536,0.8964229757255728,0.9739959145297534,0.012441924554657868,0.9317372634565388,0.8832909094900795,0.9615587363061713,0.9650715929724148,0.9514183676909562
AMG,0.6519063846944111,0.7028475881245413,0.002134062364391954,0.28881460775597706,0.5667733380845627,0.4144752020433524,0.431777226798335,-0.15414467426127523,0.6829710493957661,0.5385773548556099,0.5823975157943053,1.0,0.5848693383045452,0.584025330618543,0.6685425178976994,0.6963813867307961,0.6565050297522746,0.42628540750815436,0.46403372968361684,0.8736584515415083,0.34428144691605833,-0.38802560428621635,0.7932488287779332,0.9287531310661817,0.6020239696967075,0.6749394804654767,0.5628693452377803,0.5592348184688202,0.5975125723974495,0.36545063574483216,0.5656771688177988,0.7915610048680817,0.6315345337491326,0.8280068919227814,0.7764490252709636,0.622681192893718,0.5632678507223507,0.8095692860114593,0.8088832341468318,0.7704344961398565,0.7234555369104382,0.6281840479941494,0.3607627346438863,0.5840813413164603,0.5485519711878072,0.5611858454607473,0.6548142600926725,0.5775504335358437,-0.5268745249265763,0.6205585164622238,0.5726505507980074,0.4690534035986605,0.5444897580871871,0.7874587109212646,0.12024800629515651,-0.11136140323265041,0.6640386562935843,0.5994863248067914,0.6493199553994067,0.44393637899943955,0.6046953193794701,0.6804616167635072,0.614701985699945,0.5037921529441187,0.30525710144655066,0.7074308510787299,0.4578524221972206,0.6255041704662324,0.5307086827465632,0.641093941437649
AFL,0.9566075369114851,0.9239663136829208,0.9328768772802988,0.8775053254319107,0.9573148750732505,0.9483883799992863,0.9478847133723215,0.5761234120233019,0.6037872864969539,0.5227667434816319,0.9574093843026894,0.5848693383045452,1.0,0.9634339976062238,0.9456912120178126,0.7425497636858308,0.7944088973558319,0.8513235762298446,0.9307278913089885,0.4832137450022655,0.897118815539294,0.9151731664855006,0.5814092695251989,0.6533720436175816,0.9345077957317417,0.9620699901241652,0.9663199567421276,0.9684789325833617,0.866699670188736,0.9307167678005821,0.9437964654137084,0.8184190003468136,0.9218241577002272,0.8381941902461282,0.8353773214569739,0.9485249947056302,0.9343699067687071,0.912915147048672,0.7701964804833283,0.9198322307012256,0.9111556741681754,0.9716849678332546,-0.20804605538674512,0.9623473187842552,0.940862055567494,0.9421884465003036,0.964125566200712,0.9596056805568451,-0.743310976339154,0.8803199485473817,0.9102281289848022,0.9297390718187658,0.9277229790585866,0.8159678855592406,-0.044229652686287514,0.9361354071800135,0.9596210690184694,0.9373202047834304,0.8058340509416831,0.9415925558979079,0.9568548686703378,0.7520065987264528,0.810175583174825,0.972352741856644,0.028783569242070366,0.8838663390438224,0.9198211969410786,0.9572187142593451,0.9633462627770385,0.9488820098101689
A,0.9634477758296732,0.9224189658669519,0.9408828249248922,0.8618560975109651,0.9551455816038416,0.9549161402121468,0.9421933771698555,0.6003641211181276,0.5560690672757015,0.5097833698329336,0.9591279571753164,0.584025330618543,0.9634339976062238,1.0,0.9439484201211508,0.6670371928267894,0.7828290828212856,0.9131532050097357,0.9453003228061236,0.48633888694147737,0.9003245257159606,0.9065974926409112,0.5586771864103136,0.6480462895598827,0.9334346770159409,0.9595985568593696,0.9560298929222604,0.9591257936689498,0.8676313639392361,0.9216978629710738,0.9479265436355409,0.8186248607935268,0.9207578875414392,0.852146080424443,0.7998079948241331,0.958292474794054,0.9328393584723907,0.9237720887714687,0.7598096785092091,0.9295865381638806,0.8933695930135105,0.9722040360689396,-0.20375138507738227,0.9701976573525202,0.9469717224786178,0.9531165807141104,0.9653800406981324,0.9541606435243043,-0.7164656659305274,0.8801676243711399,0.9332081561416461,0.9621835589405819,0.9126607110070031,0.7946916734456708,0.027183654713133276,0.9444283266012043,0.9625444425095321,0.9207849805166651,0.8033719992016434,0.9654205706558627,0.9501688836176294,0.7249356865128769,0.8323909592565634,0.9663146703533715,0.0863223129250964,0.8880039636395425,0.9015470117547937,0.9418698410093084,0.9711429645365713,0.9479529408170855
APD,0.9821511699024053,0.9458601287912041,0.9203367144382524,0.824355077106515,0.9620187777726976,0.9158852645514559,0.90574523776832,0.44879897758775816,0.7620881106341525,0.4938994584831806,0.975036771283104,0.6685425178976994,0.9456912120178126,0.9439484201211508,1.0,0.8054102271519564,0.900193448417416,0.7988624304941399,0.9468688520707612,0.6473057696366451,0.8228717690989367,0.9222871932614333,0.7456871550897116,0.7713950559284234,0.9684742112220635,0.9759088261835931,0.9594846032158517,0.9574919523386053,0.9386393226955575,0.8792537978785353,0.9641867510818074,0.9219428969553367,0.9653502087131267,0.8535349840823752,0.893666478596287,0.9613903252309579,0.9601105739758572,0.9520049444801943,0.8957227809518462,0.9348595877308152,0.967820165288773,0.9812693509685922,-0.174180034505246,0.9602970208616141,0.9024827555871745,0.9594084589335208,0.9833375251436949,0.9676591698827105,-0.8062943404294747,0.9526548106839478,0.9380619164078875,0.8946810246328994,0.949807769318429,0.8963951054421542,0.019844369737684418,0.9163807355340484,0.9500653622860389,0.9584503219504641,0.8618709167181865,0.902872522871858,0.9752249968209816,0.875642081130029,0.9147717044264716,0.9441438992381693,0.12759427486827257,0.9660263103496884,0.848556024796936,0.9643339097899782,0.9287067454160773,0.9428031631010914
AKAM,0.7401814160191154,0.7802196461534091,0.5566583288389206,0.6255113544957459,0.7151556633861724,0.6303074883560699,0.6848411526026628,0.2098390013514943,0.7960206359143264,0.5098537471068088,0.7458920677152105,0.6963813867307961,0.7425497636858308,0.6670371928267894,0.8054102271519564,1.0,0.7450330365629908,0.42889943092664706,0.6841828372668171,0.6783810480639042,0.5913394968320399,0.19342025303380636,0.7405863633916883,0.7658444776919779,0.7024348987718311,0.760678051211174,0.7190521670823093,0.7146951934675505,0.6934949521861169,0.6356207580143335,0.690328424552447,0.8238701243328576,0.7083649820518458,0.7523251177865906,0.8180264273338544,0.7022809105792224,0.6786836393779614,0.8112293543633953,0.831382173350161,0.7685316206161683,0.8004850600983163,0.7612158987175484,0.08323740167753309,0.7361940757152484,0.677296857801225,0.7491703535507115,0.7478604823466126,0.7165270802454915,-0.6318379685167853,0.7311672239228434,0.7265567761347927,0.604476772121218,0.7993176640500745,0.865815948695397,0.08282438164518044,0.2939004635158847,0.7375165219355577,0.7332839794518061,0.61982559513506,0.6452154621837849,0.7624674723579778,0.765651967011988,0.6773719389019701,0.6867563751738639,0.2233010100492286,0.7643755411822879,0.6973808542643929,0.7917375762769141,0.6498793455290565,0.7687188365911877
ALK,0.8905022399478498,0.8108006339323091,0.5241558665676329,0.6082750533892451,0.846472481750913,0.7751845708617295,0.7136379403346075,0.25565839593086925,0.8602193516384319,0.2913022121702599,0.8610054948929703,0.6565050297522746,0.7944088973558319,0.7828290828212856,0.900193448417416,0.7450330365629908,1.0,0.669206820540611,0.8395265778664108,0.7218615922915725,0.5778100513952114,0.605766346684886,0.8737309290619182,0.8107197312420982,0.9064804876682905,0.8759105114749495,0.8592707932262101,0.8498919851624998,0.9580680994378372,0.6975093503577097,0.8812133336389936,0.9299963261805982,0.9155643626874331,0.7137541382833541,0.933275453429246,0.8533562289304665,0.8902823605328478,0.8519011620500924,0.9214900128115788,0.8117311905798029,0.9216237176329479,0.8637164192157746,-0.2521237327781818,0.839513916819553,0.7158599900044581,0.8180743831914393,0.8908406449647146,0.8867705112378093,-0.8398700734783032,0.9428353698372852,0.8022524959886447,0.7258629640390543,0.785065778695987,0.829108348625399,-0.04038914797596923,0.08080330166935254,0.8083021458457382,0.9249888847261817,0.8877900589974412,0.7183199425456535,0.8632158706302602,0.919200262515498,0.9325653095561653,0.8091924303890937,0.15272134293238426,0.9412391394664187,0.6866175222131901,0.8728785417996148,0.7659029722390951,0.8209452378329498
ALB,0.8577823208557197,0.7502184960096533,0.7487726603326597,0.7187331869723946,0.8411738292721261,0.8664407846783766,0.8055612496559728,0.6270887950519458,0.3439356018133752,0.37752407414963174,0.8288303393699258,0.42628540750815436,0.8513235762298446,0.9131532050097357,0.7988624304941399,0.42889943092664706,0.669206820540611,1.0,0.8713698245170594,0.286866715549275,0.7880327003561726,0.8315256782105662,0.35545099547076986,0.4604208441975574,0.8488054146923912,0.8434569897869171,0.8372469890588371,0.8409907135116199,0.7887845921991118,0.8024723635166078,0.8654267301366396,0.6568318100640271,0.8270805805367285,0.7001197697267967,0.6776950111728646,0.8641314508134529,0.8553024734224287,0.7760970322995204,0.5480618916519037,0.7765844756847317,0.7333780198702633,0.858104077640759,-0.27970703723045437,0.8734876636208891,0.8212137800364109,0.800851713116466,0.8502229352527146,0.8628856080423303,-0.5874341178734407,0.7898297090085007,0.8028282185980201,0.9190850044411867,0.6875035990132181,0.6037999549065479,-0.026027682092018778,0.7400617872852971,0.8512388285520559,0.8197276062087877,0.7692784297812512,0.8723166437638318,0.8138826289476916,0.5632252650422821,0.7418401009189018,0.8720772505553841,0.03769589576290436,0.7608500488344273,0.7841965236837787,0.8096749879098286,0.8836208356845865,0.8253264172215852
ARE,0.9538516910592771,0.8886568478573641,0.8933829491293734,0.8737409091379128,0.9559065639925005,0.959793161401802,0.9283248296982557,0.6083107412810025,0.6137006647823511,0.3793530722958136,0.9619783530848877,0.46403372968361684,0.9307278913089885,0.9453003228061236,0.9468688520707612,0.6841828372668171,0.8395265778664108,0.8713698245170594,1.0,0.4443799321661377,0.8678285600023711,0.9538930792463837,0.5770612540723693,0.5860148929581454,0.9521195100457909,0.9440698000010174,0.9455994516663001,0.9451842518792497,0.9181135598761392,0.9215914309249301,0.9596407638369248,0.8159351461350802,0.9386284982006485,0.7388307160678282,0.7996763786313626,0.9516262960697548,0.9554934653123516,0.8649612872481466,0.7687777118599586,0.8563120882616175,0.8975648738426034,0.9624429215233408,-0.3478224813691768,0.9634189660851994,0.9014262060497014,0.947904707845076,0.9515835575249197,0.9668729288459751,-0.780627484520391,0.9333738292255699,0.9349397868417558,0.9388012387123981,0.8717539788388593,0.7717883872666809,-0.024778096826024897,0.8584144770564965,0.9195032448964866,0.9310072509581249,0.8237443208735085,0.9411301390853974,0.9488918878090371,0.7691248089999934,0.8901302525974677,0.962309769903851,0.03642739471044998,0.9036378458953919,0.8703228301122685,0.9410441747636816,0.9421334193765298,0.9209207025793695
ALXN,0.5963035778155328,0.674693099027937,-0.09372137852054684,0.2749072041235953,0.5459947609284004,0.3813771280879488,0.3855861215358528,-0.2218928985251694,0.8411615882009664,0.41971150084624265,0.5549298625545505,0.8736584515415083,0.4832137450022655,0.48633888694147737,0.6473057696366451,0.6783810480639042,0.7218615922915725,0.286866715549275,0.4443799321661377,1.0,0.27395429817265216,-0.63676080898582,0.907890326828534,0.9413815811426288,0.6076605412158123,0.6156873381376438,0.5443799307473629,0.5353575997469867,0.6378937814066067,0.33707620204104993,0.5700067510843522,0.7925505817699833,0.6442868789210734,0.7318746590576384,0.7494150522101078,0.5997148058461605,0.5722445391563494,0.7149783125821974,0.837207989302705,0.705085514637299,0.7413532459920138,0.5758395979568086,0.23827336295042226,0.5208556839059301,0.4717107965835264,0.5211868312510667,0.6168091352626418,0.5377783952657528,-0.6182320064734413,0.6608871456434963,0.5748826283416565,0.34378207670267447,0.42569332053003733,0.7610749287191612,0.010678100145691096,-0.6204479708225428,0.5920307374633693,0.6023828704525859,0.6706258712566792,0.37225654552997756,0.5938871262443343,0.7928582885986678,0.7032203614873834,0.42812970790330673,0.2323381927116183,0.7431794022412053,0.3149259664303716,0.5526700143471046,0.4617286278506604,0.5711359543343696
